Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
Navari Julius,Coyotes,0.5,1,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0.5,0.5
DaJohn Murray,Coyotes,0.391,10,23,4,9,5,0,0,0,1,6,0,0,0,1,14,0.4,0.609
Ricky Ramirez,Coyotes,0.357,5,14,1,5,1,0,0,0,0,0,0,2,0,0,6,0.357,0.429
Maximino Pecina,Coyotes,0.345,8,29,5,10,4,0,3,11,2,8,1,0,0,0,23,0.406,0.793
Gabriel Tiscareno,Coyotes,0.333,11,39,6,13,0,0,0,1,3,2,0,4,0,0,13,0.381,0.333
Mike Kijanski,Coyotes,0.333,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0.333,0.333
Joshua Weiss,Coyotes,0.294,6,17,4,5,2,0,0,3,2,4,1,1,0,0,7,0.4,0.412
Glenn Morris,Coyotes,0.263,7,19,1,5,2,0,0,2,2,5,2,0,0,0,7,0.391,0.368
Matthew Berezuk,Coyotes,0.255,13,47,4,12,1,0,0,0,4,14,0,0,0,0,13,0.314,0.277
Eric Craig,Coyotes,0.25,15,56,1,14,0,0,0,3,0,19,0,1,0,1,14,0.246,0.25
Alex Rangel,Coyotes,0.209,11,43,6,9,2,0,0,3,1,13,1,6,0,0,11,0.244,0.256
Kenny Lutz,Coyotes,0.208,8,24,2,5,1,0,0,1,2,3,0,0,0,0,6,0.269,0.25
Andre Fuller,Coyotes,0.2,13,40,7,8,2,0,1,2,4,12,1,1,0,1,13,0.283,0.325
Pool Players,Coyotes,0.19,5,21,3,4,2,0,2,5,1,10,0,1,0,0,12,0.227,0.571
Jake Vollen,Coyotes,0.143,6,14,0,2,0,0,0,0,0,7,0,0,0,0,2,0.143,0.143
Bobby Hitt,Coyotes,0.143,2,7,2,1,0,0,0,0,1,2,0,5,0,0,1,0.25,0.143
Austin Wilson,Coyotes,0.143,2,7,0,1,0,0,0,0,1,2,0,1,0,0,1,0.25,0.143
Kyle Salaya,Coyotes,0.118,11,17,0,2,0,0,0,0,1,6,0,0,0,0,2,0.167,0.118
Ankit Shah,Coyotes,0.1,4,10,1,1,1,0,0,0,1,2,0,0,0,0,2,0.182,0.2
Christian Carter,Coyotes,0.053,6,19,2,1,0,0,0,1,1,7,0,0,0,0,1,0.1,0.053
Andrew Benn,Coyotes,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0.25,0
Deandrey Carter,Coyotes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ Carter,Coyotes,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Chavez,Coyotes,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
James Hernandez,Coyotes,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Released Player JC,Coyotes,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kyle Ramirez,Coyotes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Rangel,Coyotes,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
