Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
George Aceves,Legends,0.583,7,24,6,14,4,1,0,8,2,2,0,2,0,1,20,0.593,0.833
Jake Sahagian,Legends,0.5,4,16,8,8,2,0,1,4,0,1,1,2,0,0,13,0.529,0.812
Josh Cardenas,Legends,0.5,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0.5,0.5
Conor Fahey,Legends,0.5,1,2,0,1,0,0,0,2,0,1,0,0,0,0,1,0.5,0.5
Kellen Hatheway,Legends,0.452,12,42,15,19,4,3,3,11,2,15,2,2,0,0,38,0.5,0.905
Cody Stevens,Legends,0.442,12,43,11,19,3,0,1,7,4,6,2,2,0,0,25,0.51,0.581
Andrew Gerety,Legends,0.437,10,32,6,14,5,0,0,6,4,5,0,4,0,0,19,0.5,0.594
Kyle Henke,Legends,0.409,8,22,5,9,1,0,0,3,1,3,1,0,0,0,10,0.458,0.455
Brian Holman,Legends,0.4,11,35,11,14,3,0,0,6,5,8,1,4,0,0,17,0.488,0.486
Jobe Lowen,Legends,0.357,7,14,1,5,1,0,0,2,2,2,1,0,0,0,6,0.471,0.429
Derek Chance,Legends,0.333,13,45,9,15,4,0,0,10,2,7,1,3,0,1,19,0.367,0.422
Matthew Polites,Legends,0.333,5,12,5,4,3,0,0,3,1,2,2,3,0,0,7,0.467,0.583
Alexander Delk,Legends,0.32,8,25,6,8,1,0,2,5,3,7,0,0,0,0,15,0.393,0.6
Kyle Aube,Legends,0.219,12,32,7,7,2,0,1,4,8,8,0,0,0,0,12,0.375,0.375
Kasim Hussain,Legends,0.211,9,19,3,4,3,0,0,2,4,10,0,0,0,0,7,0.348,0.368
Josh Cimino,Legends,0.2,6,15,3,3,1,0,0,1,2,6,0,0,0,0,4,0.294,0.267
Steven Ferguson,Legends,0.195,12,41,6,8,1,1,1,8,2,15,1,0,0,0,14,0.25,0.341
Brett Klasko,Legends,0.148,10,27,1,4,1,0,0,0,2,15,0,0,0,0,5,0.207,0.185
Ian Neal,Legends,0.136,7,22,1,3,0,0,0,0,0,7,0,0,0,0,3,0.136,0.136
Alex Oppenheimer,Legends,0.133,11,30,4,4,0,0,0,0,2,12,1,2,0,0,4,0.212,0.133
Silverio Moreno,Legends,0.125,6,16,2,2,0,1,1,4,2,6,2,0,0,0,7,0.3,0.437
Ethan Hale,Legends,0.125,2,8,4,1,1,0,0,0,2,1,0,0,0,0,2,0.3,0.25
Will Pawlosky,Legends,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pool Players,Legends,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
