Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
Victor DeLeon,Breakers,0.733,7,15,2,11,3,0,0,1,2,2,0,2,0,0,14,0.765,0.933
Gabriel Tiscareno,Breakers,0.5,11,34,12,17,4,0,0,8,7,2,2,1,0,0,21,0.605,0.618
Mike Kijanski,Breakers,0.444,4,9,2,4,0,0,0,2,3,0,0,2,0,0,4,0.583,0.444
Devan Semper,Breakers,0.444,4,9,4,4,1,0,0,0,3,2,0,1,0,0,5,0.583,0.556
Brian Bistagne,Breakers,0.429,7,21,5,9,1,0,1,6,3,3,0,4,0,0,13,0.5,0.619
Ankit Shah,Breakers,0.424,11,33,3,14,2,0,1,5,2,7,0,0,0,2,19,0.432,0.576
Joselito Garcia,Breakers,0.381,9,21,1,8,1,0,0,3,2,6,0,0,0,0,9,0.435,0.429
Glenn Morris,Breakers,0.375,10,24,5,9,2,0,0,2,5,8,1,0,0,0,11,0.5,0.458
Maximino Pecina,Breakers,0.37,8,27,5,10,2,0,1,1,2,7,0,0,0,0,15,0.414,0.556
Cesar Oseguera,Breakers,0.357,11,28,8,10,0,0,0,3,4,6,1,2,0,1,10,0.441,0.357
DaJohn Murray,Breakers,0.324,12,37,11,12,1,0,4,11,9,17,1,4,0,0,25,0.468,0.676
Kenny Lutz,Breakers,0.32,8,25,4,8,2,0,0,5,0,3,2,0,0,1,10,0.357,0.4
Ricky Ramirez,Breakers,0.308,5,13,3,4,1,0,0,1,1,1,2,1,0,0,5,0.437,0.385
Omar Morales,Breakers,0.3,4,10,2,3,0,0,0,1,0,0,2,1,0,0,3,0.417,0.3
Eric Craig,Breakers,0.28,15,50,6,14,0,0,0,5,5,10,0,1,0,0,14,0.345,0.28
Jason Torres,Breakers,0.273,10,33,8,9,0,0,1,9,7,5,0,0,0,0,12,0.4,0.364
Marc Anthony Rodriguez,Breakers,0.219,11,32,11,7,2,0,1,3,8,8,2,3,0,0,12,0.405,0.375
Alex Rangel,Breakers,0.152,12,33,7,5,2,0,0,1,6,11,0,2,0,0,7,0.282,0.212
Matthew Berezuk,Breakers,0.14,14,43,6,6,1,0,0,3,4,15,0,0,0,0,7,0.213,0.163
Adrian Rangel,Breakers,0.125,12,24,2,3,0,0,0,1,3,12,0,0,0,0,3,0.222,0.125
