Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
Michael Hamilton,Hard Knocks,0.667,2,6,0,4,0,0,0,1,0,1,0,0,0,0,4,0.667,0.667
Alejandro Gutierrez,Hard Knocks,0.6,7,10,5,6,0,0,0,3,1,2,0,2,0,0,6,0.636,0.6
Brandon Kaufman,Hard Knocks,0.556,10,36,7,20,1,3,0,9,1,3,1,1,0,1,27,0.564,0.75
Charlie Greene,Hard Knocks,0.548,9,31,13,17,2,0,1,7,4,1,2,0,0,0,22,0.622,0.71
Jose Holguin,Hard Knocks,0.5,9,30,9,15,1,0,4,18,5,3,1,3,0,0,28,0.583,0.933
Eddie Banuelos,Hard Knocks,0.5,2,6,1,3,0,0,0,0,1,1,0,1,0,0,3,0.571,0.5
Willie Barcena,Hard Knocks,0.437,6,16,9,7,2,0,2,6,6,2,0,0,0,0,15,0.591,0.937
Fabian De La Barcena,Hard Knocks,0.429,5,14,6,6,1,0,2,7,2,1,2,0,0,0,13,0.556,0.929
David Mair,Hard Knocks,0.381,6,21,7,8,1,0,1,6,2,5,1,0,0,1,12,0.44,0.571
Jessey Melendez,Hard Knocks,0.364,7,22,4,8,0,0,0,1,5,8,0,2,0,0,8,0.481,0.364
Jose Castanon,Hard Knocks,0.364,4,11,4,4,0,0,0,0,4,2,1,0,0,0,4,0.562,0.364
Paul Galloway,Hard Knocks,0.3,3,10,0,3,1,0,0,5,1,0,0,1,0,0,4,0.364,0.4
Chad Crunelle,Hard Knocks,0.267,9,15,2,4,0,0,0,1,1,4,3,0,0,0,4,0.421,0.267
William Greene,Hard Knocks,0.263,4,19,2,5,2,0,0,2,0,3,0,0,0,0,7,0.263,0.368
Joel Castellon,Hard Knocks,0.25,6,20,1,5,0,0,0,2,1,4,1,2,0,0,5,0.318,0.25
David Whitaker,Hard Knocks,0.25,8,4,2,1,0,0,0,0,0,1,0,0,0,0,1,0.25,0.25
Valente Gutierrez,Hard Knocks,0.217,7,23,4,5,0,0,0,1,3,9,2,3,0,0,5,0.357,0.217
Kevin Ibarra,Hard Knocks,0.214,4,14,0,3,0,0,0,3,3,2,2,0,0,0,3,0.421,0.214
Yuyi Contreras,Hard Knocks,0.187,6,16,5,3,0,0,0,0,3,3,2,0,0,0,3,0.381,0.187
Chris Dominiak,Hard Knocks,0.174,7,23,2,4,1,0,0,2,4,5,0,0,0,1,5,0.286,0.217
Christopher Galarza-Gomez,Hard Knocks,0.148,9,27,4,4,0,0,0,1,4,4,1,0,0,0,4,0.281,0.148
Michael Mair,Hard Knocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Released Player AH,Hard Knocks,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Dirk Ryan,Hard Knocks,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
