Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
Joseph Silvio,Mariners,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,3,1.5,3
Chadrick Fellers,Mariners,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,3,1,1
Jorge Zermeno,Mariners,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
Neer Patel,Mariners,0.937,4,16,1,15,0,0,0,1,0,3,0,0,0,0,15,0.937,0.937
Connor Johnson,Mariners,0.6,1,5,0,3,0,0,0,3,0,4,0,0,0,0,3,0.6,0.6
Released Player BW,Mariners,0.5,1,4,1,2,0,0,0,0,0,1,0,0,0,0,2,0.5,0.5
Kenji Corbisiero,Mariners,0.444,3,9,0,4,1,0,0,0,2,1,1,1,0,0,5,0.583,0.556
Carter Cotton,Mariners,0.437,2,16,1,7,1,0,0,2,3,4,1,4,0,0,8,0.55,0.5
Michael Dodge,Mariners,0.4,2,5,0,2,0,0,0,0,0,2,0,1,0,0,2,0.4,0.4
Joshua McMurrey,Mariners,0.35,4,20,0,7,1,0,0,0,0,3,2,3,0,0,8,0.409,0.4
Zane Huffman,Mariners,0.333,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0.333,0.333
Released Player DP,Mariners,0.333,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0.333,0.333
Ethan Young,Mariners,0.296,5,27,0,8,0,0,0,0,2,5,0,0,0,0,8,0.345,0.296
Nick Johnson,Mariners,0.267,4,15,5,4,0,0,0,0,0,7,1,1,0,0,4,0.312,0.267
Brian Nava,Mariners,0.25,3,12,1,3,0,0,0,1,3,5,0,2,0,0,3,0.4,0.25
Christian Carter,Mariners,0.25,0,4,1,1,1,0,0,0,0,2,0,0,0,0,2,0.25,0.5
Devin Dhaliwal,Mariners,0.25,0,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0.25,0.25
Dylan Shepard,Mariners,0.25,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25
Reid McCann,Mariners,0.222,4,18,2,4,1,0,0,0,1,8,0,1,0,0,5,0.263,0.278
Alexander English,Mariners,0.222,3,9,1,2,0,0,0,0,2,1,2,0,0,0,2,0.462,0.222
Kevin Adams,Mariners,0.111,3,18,0,2,0,0,0,0,1,8,0,1,0,0,2,0.158,0.111
Released Player CH,Mariners,0,1,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0.143,0
Released Player GW,Mariners,0,1,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0.25,0
Ray Rosa,Mariners,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Spellman,Mariners,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
