Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Robert Reeves,Guapos,1,0,0,0,0,0,0,0,2,0,0,0,0,0
David Odud,Guapos,1,0,2,0,0,1,0,0,1,0,1,0,0,0
Danny Torres,Guapos,9,1,31.2,8,5,21,3,7,48,1,2,1,3,1.42
Alex Torres,Guapos,6,4,33.2,23,15,34,6,1,30,0,1,1,0,4.01
Samuel Prasse,Guapos,6,4,36,28,17,27,21,5,32,2,3,1,0,4.25
Zach Brandt,Guapos,3,1,13,22,7,24,4,3,9,1,0,1,0,4.85
Fernando Hernandez,Guapos,2,1,3.1,5,5,9,2,0,4,0,0,1,0,13.5
Johnny Silva,Guapos,4,3,7.1,20,12,22,5,1,6,0,0,2,0,14.73
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
