Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Yuyi Contreras,Hard Knocks,2,0,1.1,1,0,2,2,1,2,0,0,0,0,0
Jose Holguin,Hard Knocks,4,0,4,0,0,2,0,1,7,0,0,0,0,0
Jesse Martinez,Hard Knocks,1,1,3.1,1,0,3,1,1,1,0,0,0,0,0
Jamil Mamdani,Hard Knocks,1,0,0.1,2,0,1,0,0,1,0,0,0,0,0
Michael Mair,Hard Knocks,1,0,3,0,0,1,1,0,2,0,0,0,1,0
David Whitaker,Hard Knocks,14,7,65,29,20,51,18,1,85,0,6,4,0,2.77
Chad Crunelle,Hard Knocks,13,6,51.2,37,19,45,17,2,67,0,2,2,1,3.31
Eric Carrero,Hard Knocks,2,0,2,5,4,3,2,0,0,0,0,0,0,18
Alex Van Horn,Hard Knocks,1,0,0.2,2,2,1,2,0,1,0,0,0,0,27
Willie Barcena,Hard Knocks,1,1,0.2,4,2,1,1,2,1,0,0,1,0,27
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
