Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Alexander Delk,Legends,1,0,0.2,0,0,0,0,0,1,0,0,0,1,0
Cody Stevens,Legends,2,0,2,0,0,0,0,0,2,0,0,0,0,0
Will Pawlosky,Legends,1,0,1,0,0,0,1,1,1,0,0,0,0,0
Brian Holman,Legends,6,1,16,3,1,10,7,0,11,0,2,0,0,0.56
Kyle Henke,Legends,8,8,48,14,11,29,11,7,44,0,4,1,0,2.06
Brett Klasko,Legends,8,3,28,11,10,34,7,2,13,0,2,0,1,3.21
Josh Cimino,Legends,1,1,8,5,5,8,0,4,3,0,0,1,0,5.62
Silverio Moreno,Legends,1,0,3,4,2,7,1,0,3,0,0,0,0,6
Ian Neal,Legends,6,0,11,14,9,13,10,0,12,0,2,0,0,7.36
Kyle Aube,Legends,6,1,6.1,7,7,9,7,1,4,0,0,0,1,9.95
Jake Sahagian,Legends,2,0,2,3,3,4,1,0,2,0,0,1,0,13.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
