Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Lewis Carter,Cardinals,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Samuel Berkley,Cardinals,1,0,1,0,0,2,0,0,0,0,0,0,0,0
Elias Jauregui,Cardinals,4,0,7,0,0,1,1,0,8,0,0,0,1,0
Liam O'Brien,Cardinals,2,0,4,1,1,4,4,1,3,0,0,0,0,2.25
Isaac Friedenberg,Cardinals,3,1,7.2,7,2,7,6,2,11,0,0,1,0,2.35
Stevie Padilla,Cardinals,5,2,17,12,9,16,6,2,10,0,2,0,0,4.76
Sam Maier,Cardinals,6,2,29,25,17,40,21,1,26,0,2,3,1,5.28
Max Yourist,Cardinals,9,4,31.1,38,31,35,23,9,20,0,1,3,1,8.9
Joel Biery,Cardinals,1,0,1,1,1,0,2,2,2,0,0,0,0,9
Albert Esquivel,Cardinals,2,2,4,4,4,4,7,1,3,0,0,0,0,9
Eduardo Malacara,Cardinals,1,0,3,4,4,2,1,3,2,0,0,0,0,12
